filename,psnr,ssim,abs_error
0804.png,32.45701599121094,0.9935837984085083,0.01603238470852375
0805.png,34.74650192260742,0.9835194945335388,0.013015496544539928
0806.png,29.326753616333008,0.9916917085647583,0.0178852379322052
0807.png,26.23429298400879,0.9861896634101868,0.026562782004475594
0808.png,24.044315338134766,0.9731653332710266,0.04651780053973198
0809.png,41.92060852050781,0.9992405772209167,0.006031641270965338
0810.png,26.836345672607422,0.9630054235458374,0.0351787768304348
0811.png,36.43577194213867,0.9844934940338135,0.009913626126945019
0812.png,36.676029205322266,0.9930682182312012,0.009262122213840485
0813.png,32.721492767333984,0.9945324659347534,0.01592489704489708
0814.png,30.434492111206055,0.9856032729148865,0.01628807932138443
0815.png,30.71890640258789,0.9948403835296631,0.018781734630465508
0816.png,36.4077033996582,0.9935315251350403,0.010829604230821133
0817.png,32.62900924682617,0.9950718283653259,0.015871793031692505
0818.png,30.19817352294922,0.9944252371788025,0.017591359093785286
0819.png,37.64018630981445,0.996866762638092,0.00872913096100092
0820.png,33.62457275390625,0.9930446147918701,0.011902560479938984
0821.png,41.78435516357422,0.9978828430175781,0.00478328438475728
0822.png,33.26065444946289,0.9951837062835693,0.015503309667110443
0823.png,27.85982322692871,0.9844847917556763,0.023626131936907768
0824.png,25.50493621826172,0.9771524667739868,0.031638436019420624
0825.png,28.9759464263916,0.993222177028656,0.019470149651169777
0826.png,21.882078170776367,0.9584922194480896,0.05408519506454468
0827.png,34.793983459472656,0.9864319562911987,0.010509632527828217
0828.png,19.36052131652832,0.9236245155334473,0.06403269618749619
0829.png,23.955385208129883,0.9627357721328735,0.0457707941532135
0830.png,26.69233512878418,0.980769157409668,0.031347405165433884
0831.png,37.08458709716797,0.9981333613395691,0.008010337129235268
0832.png,41.42483139038086,0.999110758304596,0.004887620452791452
0833.png,35.0815544128418,0.996160089969635,0.009419595822691917
0834.png,32.224510192871094,0.9725088477134705,0.014514747075736523
0835.png,30.327177047729492,0.986930787563324,0.020760802552103996
0836.png,27.692359924316406,0.981661319732666,0.02629021741449833
0837.png,29.670513153076172,0.9902618527412415,0.018357696011662483
0838.png,41.21445083618164,0.9987052083015442,0.0068308464251458645
